,City,month,test_type,count
691,Kansas,11,negative,18281397.0
692,Kansas,12,negative,4034353.0
693,Kentucky,3,negative,39812.0
694,Kentucky,4,negative,819330.0
695,Kentucky,5,negative,3707665.0
696,Kentucky,6,negative,8474508.0
697,Kentucky,7,negative,14025085.0
698,Kentucky,8,negative,20727673.0
699,Kentucky,9,negative,29317291.0
700,Kentucky,10,negative,48575411.0
701,Kentucky,11,negative,63902614.0
702,Kentucky,12,negative,15129717.0
703,Louisiana,3,negative,172972.0
704,Louisiana,4,negative,2712953.0
705,Louisiana,5,negative,7121423.0
706,Louisiana,6,negative,14760239.0
707,Louisiana,7,negative,29158727.0
708,Louisiana,8,negative,46734032.0
709,Louisiana,9,negative,58289471.0
710,Louisiana,10,negative,73754945.0
711,Louisiana,11,negative,85904923.0
712,Louisiana,12,negative,19787372.0
713,Maine,3,negative,44976.0
714,Maine,4,negative,351384.0
715,Maine,5,negative,880176.0
716,Maine,6,negative,2090101.0
717,Maine,7,negative,3970814.0
718,Maine,8,negative,6424361.0
719,Maine,9,negative,10282365.0
720,Maine,10,negative,16228732.0
721,Maine,11,negative,22245166.0
722,Maine,12,negative,5341644.0
723,Maryland,3,negative,53950.0
724,Maryland,4,negative,1500033.0
725,Maryland,5,negative,4955905.0
726,Maryland,6,negative,10938162.0
727,Maryland,7,negative,19550805.0
728,Maryland,8,negative,32072110.0
729,Maryland,9,negative,40907223.0
730,Maryland,10,negative,51089586.0
731,Maryland,11,negative,58873193.0
732,Maryland,12,negative,13133008.0
733,Massachusetts,1,negative,0.0
734,Massachusetts,2,negative,0.0
735,Massachusetts,3,negative,251901.0
736,Massachusetts,4,negative,3475686.0
737,Massachusetts,5,negative,11225946.0
738,Massachusetts,6,negative,18544791.0
739,Massachusetts,7,negative,27772851.0
740,Massachusetts,8,negative,41193097.0
741,Massachusetts,9,negative,56316043.0
742,Massachusetts,10,negative,72850109.0
743,Massachusetts,11,negative,86001135.0
744,Massachusetts,12,negative,19180218.0
745,Michigan,3,negative,147888.0
746,Michigan,4,negative,2547755.0
747,Michigan,5,negative,11092594.0
748,Michigan,6,negative,23112791.0
749,Michigan,7,negative,41368270.0
750,Michigan,8,negative,68470710.0
751,Michigan,9,negative,92525602.0
752,Michigan,10,negative,126581324.0
753,Michigan,11,negative,164786199.0
754,Michigan,12,negative,38658084.0
755,Minnesota,3,negative,149462.0
756,Minnesota,4,negative,1293714.0
757,Minnesota,5,negative,4737287.0
758,Minnesota,6,negative,12303744.0
759,Minnesota,7,negative,23606845.0
760,Minnesota,8,negative,28731020.0
761,Minnesota,9,negative,35342505.0
762,Minnesota,10,negative,47180320.0
763,Minnesota,11,negative,58317632.0
764,Minnesota,12,negative,13562535.0
765,Mississippi,3,negative,25208.0
766,Mississippi,4,negative,977730.0
767,Mississippi,5,negative,3163203.0
768,Mississippi,6,negative,6294894.0
769,Mississippi,7,negative,10103335.0
770,Mississippi,8,negative,13790927.0
771,Mississippi,9,negative,16898757.0
772,Mississippi,10,negative,22237884.0
773,Mississippi,11,negative,26743997.0
774,Mississippi,12,negative,5894370.0
775,Missouri,3,negative,53678.0
776,Missouri,4,negative,1317616.0
